host,rtt,port,server_name,synStart,synEnd,scanEnd,protocol,cipher,resultString,verify_err_no,verify_code,server_version,depth,depth_verbose,error_data
213.196.191.96,,443,ibksturm.synology.me,1647539956,1647539956,1647539957,TLSv1.3,TLS_AES_256_GCM_SHA384,SUCCESS,,,,,,
76.76.2.1,,443,freedns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.191,,443,dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.197,,443,dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.159,,443,dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.160,,443,freedns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.140,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.175,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.127,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.126,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
79.133.149.84,,443,dns64.dns.google,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.179,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.160,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.176,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.11,,443,p3.freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.147,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.174,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.161,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.126,,443,freedns.controld.com,1647539965,1647539965,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.151,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.110,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.124,,443,premium.dns.controld.com,1647539965,1647539965,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.157,,443,dns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.119,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.15,,443,freedns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.192,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
8.142.213.35,,443,alidns.com,1647539967,1647539967,,TLS_NULL_WITH_NULL_NULL,TLS_NULL_WITH_NULL_NULL,CONNECTION REFUSED,,,,,,dial tcp <nil>->8.142.213.35:443: connect: connection refused
76.76.2.187,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.190,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.182,,443,premium.dns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.176,,443,freedns.controld.com,1647539965,1647539965,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.156,,443,dns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.131,,443,premium.dns.controld.com,1647539965,1647539965,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
8.208.2.65,,443,dns.alidns.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.190,,443,dns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
82.112.151.102,,443,doh.opendns.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
20.97.99.47,,443,dns-ext.familiamichels.com.br,1647539957,1647539957,,TLS_NULL_WITH_NULL_NULL,TLS_NULL_WITH_NULL_NULL,TIMEOUT,,,,,,dial tcp <nil>->20.97.99.47:443: i/o timeout
85.143.173.71,,443,dns2.vdisk.ru,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_256_GCM_SHA384,SUCCESS,,,,,,
76.76.2.184,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.188,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.237,,443,freedns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.195,,443,premium.dns.controld.com,1647539966,1647539966,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.145,,443,freedns.controld.com,1647539965,1647539965,1647539967,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
